Model,Train RMSLE,Valid RMSLE,Valid MAE ($),Valid R2,Training Time (s)
Baseline LightGBM,0.2504479568318332,0.28738186783961733,7369.87,0.8469,1.12
Stacking (LGBM + Huber),0.2515203993358699,0.2866632682815879,7250.57,0.8476,101.43
